Signature,Block Time,Human Time,Action,From,To,Amount,Flow,Value,Decimals,Token Address, Multiplier
55zoaiSxNfJgjXhcpvz2SszkJ9xfuCASsxhjDWpkkVfa2dbr3kxdkKXGvd9aC5iiZDRyimo7sNGhMEtUhPdYCU7u,1766857531,2025-12-27T17:45:31.000Z,TRANSFER,LYANE1HpjnQWjKW6a6NJLuuyP4fsX77sUF6YUHb2ktA,1nc1nerator11111111111111111111111111111111,120704514628,out,39.63,6,J2kvsjCVGmKYH5nqo9X7VJGH2jpmKkNdzAaYUfKspump,1.0
4FdKqJAvdv4EqA1YceEXwz5baqkFjetwfEuHF42u51dUkCvHM8tRagaJ8xBh1gwL9C2SQUqp3kL4eCgUm5hpA5mp,1766857242,2025-12-27T17:40:42.000Z,TRANSFER,LYANE1HpjnQWjKW6a6NJLuuyP4fsX77sUF6YUHb2ktA,1nc1nerator11111111111111111111111111111111,93060031415,out,32.29,6,J2kvsjCVGmKYH5nqo9X7VJGH2jpmKkNdzAaYUfKspump,1.0
4E7obq15wM1XKmAbKPytyCTrHiTCdh8SeU9D8tsvXchM136WzEgSJpP1GPN2DMammqAMkKS4HZsLdVigLmvobKy6,1766857115,2025-12-27T17:38:35.000Z,TRANSFER,LYANE1HpjnQWjKW6a6NJLuuyP4fsX77sUF6YUHb2ktA,1nc1nerator11111111111111111111111111111111,39047273458,out,13.55,6,J2kvsjCVGmKYH5nqo9X7VJGH2jpmKkNdzAaYUfKspump,1.0
35F1cwryjtHMf8Zk8ViovMSWaWoMwgeynTDqbum362BkoJii7VPVeaVXv5v92vfMVoo12qfETDaPGmn9DesYp3E6,1766856982,2025-12-27T17:36:22.000Z,TRANSFER,LYANE1HpjnQWjKW6a6NJLuuyP4fsX77sUF6YUHb2ktA,1nc1nerator11111111111111111111111111111111,174798672058,out,60.65,6,J2kvsjCVGmKYH5nqo9X7VJGH2jpmKkNdzAaYUfKspump,1.0
2TDC5i3B3wzSFCoDAfGzr5CGmJfBKgLWVkmpXs7nVChX2iedSzdKTMrwfut41ZBnF6mfExRgsGdEcDaCHek85HxT,1766856663,2025-12-27T17:31:03.000Z,TRANSFER,LYANE1HpjnQWjKW6a6NJLuuyP4fsX77sUF6YUHb2ktA,1nc1nerator11111111111111111111111111111111,602574931932,out,204.48,6,J2kvsjCVGmKYH5nqo9X7VJGH2jpmKkNdzAaYUfKspump,1.0
2Cm5Hkwmhe1HGi4TYHuCh9nUwMysvwMyC9nVRRdjz8Dh8tX7ZNK2tLbMu8oiAMxFwT1Ug2A2R7QjGodSZZeMzPV,1766793554,2025-12-26T23:59:14.000Z,TRANSFER,LYANE1HpjnQWjKW6a6NJLuuyP4fsX77sUF6YUHb2ktA,1nc1nerator11111111111111111111111111111111,34748304038,out,24.99,6,J2kvsjCVGmKYH5nqo9X7VJGH2jpmKkNdzAaYUfKspump,1.0
3ioWDnW2ovSXn5kGuhsFkKqnT29NbxfvGs1hzHFS1UgYV8uy2jxrn4nKJX8vgLDkXx4QR3V946p9FoTzXkLUgvrE,1766793419,2025-12-26T23:56:59.000Z,TRANSFER,LYANE1HpjnQWjKW6a6NJLuuyP4fsX77sUF6YUHb2ktA,1nc1nerator11111111111111111111111111111111,341669681666,out,245.71,6,J2kvsjCVGmKYH5nqo9X7VJGH2jpmKkNdzAaYUfKspump,1.0
4UDW5vHc81FRc9yZZKgqTVvCSCrdCrABPJY2TBbSPUNfm1FMpzfqogyhPQLkeQawUmQ29d58n2BKnEGcGPwGKdsh,1766640331,2025-12-25T05:25:31.000Z,TRANSFER,LYANE1HpjnQWjKW6a6NJLuuyP4fsX77sUF6YUHb2ktA,1nc1nerator11111111111111111111111111111111,86706053645,out,82.83,6,J2kvsjCVGmKYH5nqo9X7VJGH2jpmKkNdzAaYUfKspump,1.0
3HuQ2rHfJjnAiYzAViLP5DokGbVk25iRcVDebNmtLhMVwqDMRtH2z74j4aYYoAx9YmeKhskU55cFWhQapE1Zb33w,1766634525,2025-12-25T03:48:45.000Z,TRANSFER,LYANE1HpjnQWjKW6a6NJLuuyP4fsX77sUF6YUHb2ktA,1nc1nerator11111111111111111111111111111111,182730838270,out,198.69,6,J2kvsjCVGmKYH5nqo9X7VJGH2jpmKkNdzAaYUfKspump,1.0
5Vm24oUwbppfAo46eZmhvgSv4cjggYwpAxCu5MzutwujNUjsAb67NabeyN4rEFe4CwvWs6qe95ZWFrj9N9D83gyX,1766610303,2025-12-24T21:05:03.000Z,TRANSFER,LYANE1HpjnQWjKW6a6NJLuuyP4fsX77sUF6YUHb2ktA,1nc1nerator11111111111111111111111111111111,54456796240,out,90.83,6,J2kvsjCVGmKYH5nqo9X7VJGH2jpmKkNdzAaYUfKspump,1.0
5UTAqzfEs1h7UxUSN9SaNZdhXzqm2BwZCAVtnH59aAXAFWxc7LRSNg7aESnxxN2qjEZtqTo9XbkEBmUxuWFmxtaG,1766609902,2025-12-24T20:58:22.000Z,TRANSFER,LYANE1HpjnQWjKW6a6NJLuuyP4fsX77sUF6YUHb2ktA,1nc1nerator11111111111111111111111111111111,33350432602,out,49.61,6,J2kvsjCVGmKYH5nqo9X7VJGH2jpmKkNdzAaYUfKspump,1.0
2sM8h6FNtECRqdrefXNHpyfR9ovLcUcJM72g3tb3Mh7qsmExm8oLgUxVy47VKpr3kx7hVxZKHwEuG9xKA9HXYKdZ,1766609772,2025-12-24T20:56:12.000Z,TRANSFER,LYANE1HpjnQWjKW6a6NJLuuyP4fsX77sUF6YUHb2ktA,1nc1nerator11111111111111111111111111111111,76278526584,out,132.74,6,J2kvsjCVGmKYH5nqo9X7VJGH2jpmKkNdzAaYUfKspump,1.0
4HX17mYP5dMqebYU6F7ZPx3w6MzJZrSR1dmu9eWbAe2AXjtiuuHyAXqLH4BiutQjj8XiZiWt4JFGmCLS1qxny95P,1766609640,2025-12-24T20:54:00.000Z,TRANSFER,LYANE1HpjnQWjKW6a6NJLuuyP4fsX77sUF6YUHb2ktA,1nc1nerator11111111111111111111111111111111,28839256234,out,50.18,6,J2kvsjCVGmKYH5nqo9X7VJGH2jpmKkNdzAaYUfKspump,1.0
3CZ3pojfPEEemXxWGN2Krur4RJoest2xn43PSFpTExRDMDFqoGHDVxsSj45Z8cpiRkLVnHBdLXY5Y55ivjUX9EPs,1766609503,2025-12-24T20:51:43.000Z,TRANSFER,LYANE1HpjnQWjKW6a6NJLuuyP4fsX77sUF6YUHb2ktA,1nc1nerator11111111111111111111111111111111,14406612041,out,25.07,6,J2kvsjCVGmKYH5nqo9X7VJGH2jpmKkNdzAaYUfKspump,1.0
3TJ9XZpv2issjaJRAe9XEbJ2a4Yun5JFe7zzNdYZzma7X1Nyf9QtawKZDmMRWnybnvNEkcVr7caLUPgSqJBLkDXk,1766609369,2025-12-24T20:49:29.000Z,TRANSFER,LYANE1HpjnQWjKW6a6NJLuuyP4fsX77sUF6YUHb2ktA,1nc1nerator11111111111111111111111111111111,270437739924,out,524.44,6,J2kvsjCVGmKYH5nqo9X7VJGH2jpmKkNdzAaYUfKspump,1.0
45h7Z2ma1SXd2jbxeitwc4FixSZjHhkq71c8LkuBSWzFetcHuLty7GuePiTHmf79MeHo27GDKJDYCPu3eDbP4EjN,1766579977,2025-12-24T12:39:37.000Z,TRANSFER,LYANE1HpjnQWjKW6a6NJLuuyP4fsX77sUF6YUHb2ktA,1nc1nerator11111111111111111111111111111111,59750562610,out,63.57,6,J2kvsjCVGmKYH5nqo9X7VJGH2jpmKkNdzAaYUfKspump,1.0
45ghEezZcwhwSbxjmU5kYrZMQKrt82bDfbjZZjfUJSp9AkdpRdNJyLgxzKbfPzpu5jtTQbQoBzcWWKpQ3FCVFqE4,1766579847,2025-12-24T12:37:27.000Z,TRANSFER,LYANE1HpjnQWjKW6a6NJLuuyP4fsX77sUF6YUHb2ktA,1nc1nerator11111111111111111111111111111111,462612201341,out,492.17,6,J2kvsjCVGmKYH5nqo9X7VJGH2jpmKkNdzAaYUfKspump,1.0
